Date,Open,High,Low,Close,Adj Close,Volume
1992-09-18,3.183003,3.397240,3.183003,27.250019,3.336033,24816300
1992-09-21,3.244211,3.336033,3.183003,26.499985,3.244211,3912300
1992-09-22,3.244211,3.244211,3.029973,24.999990,3.060577,2239800
1992-09-23,3.029973,3.091181,2.999369,24.625013,3.014672,938800
1992-09-24,2.999369,3.121786,2.999369,25.249975,3.091181,962700
1992-09-25,3.091181,3.121786,2.938151,24.500019,2.999369,1215000
1992-09-28,2.999369,2.999369,2.907547,23.749983,2.907547,473800
1992-09-29,2.907547,2.968765,2.907547,24.250031,2.968765,1395400
1992-09-30,2.968765,3.060577,2.907547,24.999990,3.060577,1030000
1992-10-01,3.060577,3.091181,2.999369,24.500019,2.999369,910000
1992-10-02,3.060577,3.060577,2.815735,23.250011,2.846339,1432500
1992-10-05,2.785121,2.815735,2.632101,22.249989,2.723913,3341400
1992-10-06,2.754518,2.876943,2.723913,23.499996,2.876943,615600
1992-10-07,2.876943,3.060577,2.876943,24.500019,2.999369,780400
1992-10-08,3.060577,3.091181,2.968765,25.124985,3.075880,820000
1992-10-09,3.045274,3.183003,2.999369,24.500019,2.999369,1073400
1992-10-12,3.060577,3.060577,2.968765,24.500019,2.999369,87900
1992-10-13,2.999369,3.060577,2.861641,23.499996,2.876943,344400
1992-10-14,2.907547,2.999369,2.846339,24.500019,2.999369,628600
1992-10-15,2.999369,3.121786,2.938151,25.499966,3.121786,430200
1992-10-16,3.106483,3.244211,3.060577,26.000011,3.183003,373500
1992-10-19,3.244211,3.366637,3.152399,27.000034,3.305428,1201000
1992-10-20,3.305428,3.458449,3.305428,27.500008,3.366637,1098400
1992-10-21,3.366637,3.458449,3.305428,27.749994,3.397240,196300
1992-10-22,3.305428,3.366637,3.152399,26.499985,3.244211,313200
1992-10-23,3.183003,3.305428,3.183003,27.000034,3.305428,454500
1992-10-26,3.274815,3.274815,3.152399,26.749969,3.274815,183600
1992-10-27,3.274815,3.274815,3.091181,26.000011,3.183003,168900
1992-10-28,3.183003,3.336033,3.152399,27.125031,3.320730,540600
1992-10-29,3.305428,3.336033,3.121786,26.250000,3.213607,376600
1992-10-30,3.152399,3.213607,2.968765,24.625013,3.014672,614800
1992-11-02,3.091181,3.213607,3.029973,24.874998,3.045274,1007200
1992-11-03,3.091181,3.091181,2.999369,24.999990,3.060577,810000
1992-11-04,2.938151,3.029973,2.938151,24.500019,2.999369,66700
1992-11-05,3.060577,3.213607,2.968765,26.250000,3.213607,334000
1992-11-06,3.152399,3.274815,3.152399,26.250000,3.213607,200700
1992-11-09,3.183003,3.305428,3.183003,26.499985,3.244211,226000
1992-11-10,3.305428,3.305428,3.121786,26.000011,3.183003,569800
1992-11-11,3.183003,3.183003,3.091181,26.000011,3.183003,208500
1992-11-12,3.183003,3.244211,3.152399,26.250000,3.213607,558900
1992-11-13,3.274815,3.274815,3.213607,26.749969,3.274815,366400
1992-11-16,3.305428,3.305428,3.244211,26.749969,3.274815,256500
1992-11-17,3.305428,3.305428,3.244211,26.624981,3.259513,217500
1992-11-18,3.305428,3.366637,3.244211,27.500008,3.366637,238200
1992-11-19,3.366637,3.427845,3.305428,27.500008,3.366637,606300
1992-11-20,3.366637,3.458449,3.366637,28.249964,3.458449,781800
1992-11-23,3.458449,3.458449,3.366637,28.249964,3.458449,343000
1992-11-24,3.458449,3.458449,3.397240,28.249964,3.458449,185100
1992-11-25,3.458449,3.611479,3.397240,28.750013,3.519666,1501800
1992-11-27,3.611479,3.795113,3.580874,30.125015,3.687998,565200
1992-11-30,3.733905,3.825726,3.642092,30.749981,3.764508,1201600
1992-12-01,3.764508,3.764508,3.611479,30.000019,3.672697,444700
1992-12-02,3.672697,3.672697,3.519666,29.249985,3.580874,374800
1992-12-03,3.519666,3.550270,3.366637,27.749994,3.397240,648900
1992-12-04,3.366637,3.397240,3.274815,27.500008,3.366637,382600
1992-12-07,3.397240,3.489062,3.305428,28.500027,3.489062,285700
1992-12-08,3.489062,3.489062,3.397240,27.749994,3.397240,129600
